experimentalGenes	ABC
BLK	TRUE
CD40	TRUE
CD83	TRUE
ETS1	TRUE
ICOSLG	TRUE
IFNGR2	TRUE
IL10	TRUE
IL2RA	TRUE
IL6ST	TRUE
ITGAL	TRUE
PFKFB3	TRUE
PPIF	TRUE
SEPHS2	TRUE
MYC	TRUE
PTGER4	TRUE
SARS	TRUE
PSRC1	TRUE
SORT1	TRUE
PSMA5	TRUE
ALPP	TRUE
ATP1A2	FALSE
C2CD4C	TRUE
COL14A1	TRUE
CRYM	FALSE
DNMT3L	TRUE
ECEL1	TRUE
ECEL1P2	TRUE
FAM102B	TRUE
MFSD4B	TRUE
MOGS	TRUE
NCBP2	TRUE
NSMAF	TRUE
NTS	TRUE
PIFO	TRUE
PIGZ	TRUE
PPM1H	TRUE
RMND1	TRUE
SLC16A10	TRUE
SLC35F6	TRUE
SLITRK2	TRUE
SYT6	TRUE
TBCD	TRUE
YIPF4	TRUE
ALPPL2	TRUE
CACNA2D2	TRUE
GDPD1	TRUE
NFKB2	TRUE
SERPINB9	TRUE
PVT1-TSS1	FALSE
CCDC26	TRUE
SUOX	TRUE
GATA1	TRUE
HDAC6	TRUE
PIM2	TRUE
RBM38	TRUE
RAE1	TRUE
SMIM1	TRUE
LRRC47	TRUE
CEP104	TRUE
FIG4	TRUE
CD164	TRUE
ALAS2	TRUE
UROS	TRUE
EPB41	TRUE
KCNN4	TRUE
MYO1D	TRUE
TMEM98	TRUE
SPACA3	TRUE
HBBP1	TRUE
HBG1	TRUE
HBG2	TRUE
HBE1	TRUE
HBD	TRUE
PIM1	TRUE
FADS1	TRUE
FTH1	TRUE
PRKAR2B	TRUE
REEP5	TRUE
CNDP2	TRUE
ZADH2	TRUE
MRPS23	TRUE
SMG8	TRUE
MYB	TRUE
EZH1	TRUE
PRDX2	TRUE
C19orf43	TRUE
FUT1	TRUE
H1FX	TRUE
RNASEH2A	TRUE
HNRNPA1	TRUE
DHPS	TRUE
FTL	TRUE
RPN1	TRUE
DNASE2	TRUE
PPP1R15A	TRUE
KLF1	TRUE
RAD23A	TRUE
NFE2	TRUE
BCAT2	TRUE
RAB7A	TRUE
WDR83OS	TRUE
LYL1	TRUE
COPZ1	TRUE
PQBP1	TRUE
PLP2	TRUE
NUCB1	TRUE
CNBP	TRUE
JUNB	TRUE
ITGA5	TRUE
BAX	TRUE
SEC61A1	TRUE
CALR	TRUE
RFX6	FALSE
